date,total_visit
2016-01,1296726
2016-02,1183830
2016-03,1533990
2016-04,1667413
2016-05,2329031
2016-06,2334127
2016-07,2733909
2016-08,3642977
2016-09,3089623
2016-10,2730649
2016-11,1479030
2016-12,1244101
2017-01,1184957
2017-02,1110950
2017-03,1476386
2017-04,1889519
2017-05,2670106
2017-06,3115407
2017-07,4188105
2017-08,5242858
2017-09,4339345
2017-10,3421449
2017-11,1836496
2017-12,1603949
2018-01,1601862
2018-02,1444008
2018-03,1862961
2018-04,2433008
2018-05,3398215
2018-06,4023879
2018-07,4857186
2018-08,6001678
2018-09,5045870
2018-10,4292466
2018-11,2234062
2018-12,1756707
2019-01,1804135
2019-02,1574614
2019-03,2081631
2019-04,2845084
2019-05,3832240
2019-06,4821887
2019-07,5717804
2019-08,7018257
2019-09,5702078
2019-10,4878255
2019-11,2501695
2019-12,1935290
2020-01,2065570
2020-02,1664208
2020-03,906067
2020-04,50630
2020-05,51588
2020-06,128861
2020-07,529990
2020-08,1712380
2020-09,2187683
2020-10,2000557
2020-11,960402
2020-12,681408
2021-01,570447
2021-02,494337
2021-03,761443
2021-04,895342
2021-05,757518
2021-06,1491955
2021-07,3231555
2021-08,4578265
2021-09,3648131
2021-10,3777732
2021-11,2080510
2021-12,1652786