date,rate
2016-01,3.01
2016-02,2.95
2016-03,2.90
2016-04,2.84
2016-05,2.93
2016-06,2.92
2016-07,2.96
2016-08,2.97
2016-09,2.97
2016-10,3.07
2016-11,3.27
2016-12,3.50
2017-01,3.74
2017-02,3.68
2017-03,3.67
2017-04,3.66
2017-05,3.57
2017-06,3.53
2017-07,3.57
2017-08,3.52
2017-09,3.47
2017-10,3.67
2017-11,3.89
2017-12,3.85
2018-01,3.78
2018-02,3.78
2018-03,3.89
2018-04,4.06
2018-05,4.42
2018-06,4.64
2018-07,4.76
2018-08,5.74
2018-09,6.38
2018-10,5.87
2018-11,5.38
2018-12,5.32
2019-01,5.38
2019-02,5.27
2019-03,5.45
2019-04,5.75
2019-05,6.06
2019-06,5.82
2019-07,5.68
2019-08,5.63
2019-09,5.72
2019-10,5.79
2019-11,5.74
2019-12,5.85
2020-01,5.93
2020-02,6.06
2020-03,6.33
2020-04,6.83
2020-05,6.96
2020-06,6.82
2020-07,6.86
2020-08,7.27
2020-09,7.52
2020-10,7.89
2020-11,8.02
2020-12,7.73
2021-01,7.41
2021-02,7.09
2021-03,7.64
2021-04,8.17
2021-05,8.36
2021-06,8.61
2021-07,8.63
2021-08,8.49
2021-09,8.53
2021-10,9.16
2021-11,10.54
2021-12,13.55